food_name,calories,protein,carbs,fats,veg,diabetes_safe,bp_safe,heart_safe,asthma_safe,thyroid_safe,kidney_safe,pcos_safe,arthritis_safe,cholesterol_safe
Chicken Breast,165,31.0,0.0,3.6,0,1,1,1,1,1,1,1,1,1
Rice (1 cup),200,4.0,45.0,0.3,1,1,1,1,1,0,1,1,1,1
Broccoli,55,3.7,11.0,0.6,1,1,1,1,1,1,1,1,1,1
Spinach,23,2.9,3.6,0.4,1,1,1,1,1,0,0,1,1,1
Salmon,280,25.0,0.0,17.0,0,1,0,1,1,1,0,1,1,0
Whole Wheat Bread,80,4.0,14.0,1.0,1,1,1,1,1,1,1,1,1,1
Eggs,155,13.0,1.1,11.0,0,1,1,1,1,1,1,1,1,0
Almonds,579,21.0,22.0,50.0,1,0,1,1,1,1,0,0,1,1
Olive Oil,120,0.0,0.0,14.0,1,1,1,0,1,1,1,1,1,0
Carrot,41,0.9,10.0,0.2,1,1,1,1,1,1,1,1,1,1
Apple,52,0.3,14.0,0.2,1,1,1,1,1,1,1,1,1,1
Banana,89,1.1,23.0,0.3,1,0,1,1,1,0,0,1,1,1
Sweet Potato,86,1.6,20.0,0.1,1,1,1,1,1,1,1,1,1,1
Lentils,116,9.0,20.0,0.4,1,1,1,1,1,1,0,1,1,1
Yogurt,59,10.0,3.6,0.4,0,1,1,1,1,1,1,1,1,1
Milk,61,3.2,4.8,3.3,0,1,0,1,1,1,0,1,1,0
Cheese,402,25.0,1.3,33.0,0,0,0,0,1,1,0,0,1,0
Bell Pepper,31,1.0,7.3,0.3,1,1,1,1,1,1,1,1,1,1
Cucumber,16,0.7,3.6,0.1,1,1,1,1,1,1,1,1,1,1
Tomato,18,0.9,3.9,0.2,1,1,1,1,1,1,1,1,1,1
Garlic,149,6.4,33.0,0.5,1,1,1,1,1,1,1,1,1,1
Ginger,80,1.8,18.0,0.8,1,1,1,1,1,1,1,1,1,1
Oats,389,17.0,66.0,7.0,1,1,1,1,1,1,1,1,1,1
Fish,100,22.0,0.0,1.0,0,1,1,1,1,1,0,1,1,1
Tofu,76,8.0,1.9,4.8,1,1,1,1,1,1,0,1,1,1
Kidney Beans,127,8.7,23.0,0.5,1,1,1,1,1,1,0,1,1,1
Peanut Butter,588,25.0,20.0,50.0,1,0,1,0,1,1,0,0,1,0
Berries,57,0.7,14.0,0.3,1,1,1,1,1,1,1,1,1,1
Tea (unsweetened),0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1
Water,0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1
Green Tea,2,0.0,0.5,0.0,1,1,1,1,1,1,1,1,1,1
Quinoa,120,4.0,21.0,2.0,1,1,1,1,1,1,1,1,1,1
Chickpeas,134,8.9,22.0,2.6,1,1,1,1,1,1,0,1,1,1
Black Beans,132,8.9,24.0,0.5,1,1,1,1,1,1,0,1,1,1
Mushroom,22,3.1,3.3,0.3,1,1,1,1,1,1,1,1,1,1
Garlic Bread,195,5.0,30.0,6.0,1,1,0,1,1,1,1,1,1,1
Avocado,160,2.0,9.0,15.0,1,1,1,0,1,1,1,1,1,1
Pumpkin,26,1.0,7.0,0.1,1,1,1,1,1,1,1,1,1,1
Corn,86,3.3,19.0,1.2,1,1,1,1,1,1,1,1,1,1
Peas,81,5.4,14.0,0.4,1,1,1,1,1,1,1,1,1,1
Cauliflower,25,1.9,5.0,0.3,1,1,1,1,1,1,1,1,1,1
Cabbage,25,1.3,5.8,0.1,1,1,1,1,1,1,1,1,1,1
Beetroot,43,1.7,10.0,0.2,1,0,1,1,1,1,0,1,1,1
Radish,16,0.7,3.6,0.1,1,1,1,1,1,1,1,1,1,1
Zucchini,21,1.5,3.7,0.4,1,1,1,1,1,1,1,1,1,1
Turkey Breast,189,29.0,0.0,7.4,0,1,1,1,1,1,1,1,1,1
Lean Beef,180,26.0,0.0,8.0,0,1,0,0,1,1,0,1,1,0
Mackerel,305,27.0,0.0,22.0,0,1,0,0,1,1,0,1,1,0
Cod,82,18.0,0.0,0.7,0,1,1,1,1,1,0,1,1,1
Tuna,132,29.9,0.0,0.9,0,1,1,1,1,1,0,1,1,1
Cottage Cheese,98,11.0,3.9,5.3,0,1,1,1,1,1,0,1,1,1
Paneer,208,25.0,1.2,11.0,0,1,1,1,1,1,0,1,1,1
Feta Cheese,264,14.0,4.1,21.0,0,0,0,0,1,1,1,0,1,0
Hummus,165,5.5,15.0,9.0,1,1,1,1,1,1,1,1,1,1
Garbanzo Beans,269,15.0,45.0,4.3,1,1,1,1,1,1,0,1,1,1
Almond Milk,30,1.0,1.0,2.5,1,1,1,1,1,1,1,1,1,1
Chia Seeds,138,4.7,12.0,8.7,1,1,1,1,1,1,1,1,1,1
Flax Seeds,150,5.2,8.0,8.2,1,1,1,1,1,1,1,1,1,1
Sesame Seeds,159,4.7,7.0,15.0,1,1,1,1,1,1,1,1,1,1
Sunflower Seeds,165,5.5,6.5,15.0,1,1,1,1,1,1,1,1,1,1
Pumpkin Seeds,182,9.0,4.0,16.0,1,1,1,1,1,1,1,1,1,1
Walnuts,654,9.1,13.7,65.0,1,1,1,0,1,1,0,0,1,1
Cashews,553,18.0,30.0,44.0,1,0,1,0,1,1,0,0,1,0
Pistachio,557,20.0,28.0,45.0,1,1,1,1,1,1,0,0,1,1
Papaya,43,0.5,11.0,0.3,1,1,1,1,1,1,1,1,1,1
Mango,60,0.8,15.0,0.3,1,0,1,1,1,1,1,1,1,1
Orange,47,0.9,12.0,0.3,1,1,1,1,1,1,1,1,1,1
Lemon,29,1.1,9.3,0.3,1,1,1,1,1,1,1,1,1,1
Lime,30,0.7,10.5,0.2,1,1,1,1,1,1,1,1,1,1
Kiwi,61,1.1,15.0,0.5,1,1,1,1,1,1,1,1,1,1
Watermelon,30,0.6,8.0,0.2,1,1,1,1,1,1,1,1,1,1
Cantaloupe,34,0.8,8.0,0.2,1,1,1,1,1,1,1,1,1,1
Honey,64,0.3,17.0,0.0,1,0,1,1,1,1,1,0,1,1
Brown Rice,111,2.6,23.0,0.9,1,1,1,1,1,0,1,1,1,1
Basmati Rice,130,2.7,28.0,0.3,1,1,1,1,1,0,1,1,1,1
Wild Rice,101,3.9,35.0,0.3,1,1,1,1,1,1,1,1,1,1
Rye Bread,259,9.0,48.0,3.3,1,1,1,1,1,1,1,1,1,1
Sourdough,289,9.0,51.0,3.6,1,1,1,1,1,1,1,1,1,1
Multigrain Bread,265,14.0,48.0,5.0,1,1,1,1,1,1,1,1,1,1
Pasta (White),131,5.0,25.0,1.1,1,1,1,1,1,1,1,1,1,1
Pasta (Whole Wheat),124,5.3,26.0,0.4,1,1,1,1,1,1,1,1,1,1
Barley,354,12.0,77.0,2.3,1,1,1,1,1,1,1,1,1,1
Millet,207,6.2,72.0,1.7,1,1,1,1,1,1,1,1,1,1
Buckwheat,343,11.7,71.0,3.4,1,1,1,1,1,1,1,1,1,1
Amaranth,371,13.5,65.0,7.0,1,1,1,1,1,1,1,1,1,1
Salmon,280,25.0,0.0,17.0,0,0,1,1,1,0,0,1,1,0
Brown Rice,111,2.6,23.0,0.9,1,1,1,0,1,0,1,1,1,1
Honey,64,0.3,17.0,0.0,1,0,1,0,0,1,0,0,1,1
Black Beans,132,8.9,24.0,0.5,1,1,1,0,1,0,0,1,1,1
Barley,354,12.0,77.0,2.3,1,1,1,0,1,1,1,0,1,0
Pistachio,557,20.0,28.0,45.0,1,1,1,1,0,1,1,1,1,1
Cantaloupe,34,0.8,8.0,0.2,1,1,1,1,0,1,0,1,1,1
Barley,354,12.0,77.0,2.3,0,1,1,1,1,1,1,1,1,1
Mushroom,22,3.1,3.3,0.3,1,1,1,1,1,1,1,1,1,1
Quinoa,120,4.0,21.0,2.0,1,0,1,0,0,1,1,1,1,1
Chicken Breast,165,31.0,1.0,3.6,0,1,1,1,1,1,1,0,1,1
Garlic Bread,195,5.0,30.0,6.0,1,1,0,0,1,1,0,1,1,1
Garbanzo Beans,269,15.0,45.0,4.3,1,1,1,1,1,0,0,1,1,0
Rye Bread,259,9.0,48.0,3.3,1,0,1,0,0,1,1,1,1,0
Cabbage,25,1.3,5.8,0.1,0,1,1,0,1,1,1,1,1,1
Peas,81,5.4,14.0,0.4,0,1,1,1,1,1,1,1,1,1
Pumpkin,26,1.0,7.0,0.1,1,0,1,1,1,1,1,1,1,1
Broccoli,55,3.7,11.0,0.6,0,1,1,0,1,1,1,0,1,1
Milk,61,3.2,4.8,3.3,0,1,1,1,1,1,0,1,0,0
Yogurt,59,10.0,3.6,0.4,0,1,0,1,1,1,1,1,0,1
Chicken Breast,165,31.0,1.0,3.6,0,1,1,1,0,1,1,1,1,1
Green Tea,2,1.0,0.5,0.0,1,1,0,0,0,0,1,1,1,0
Carrot,41,0.9,10.0,0.2,1,1,1,0,1,0,1,1,1,1
Chia Seeds,138,4.7,12.0,8.7,1,1,1,1,1,0,1,1,1,1
Millet,207,6.2,72.0,1.7,1,1,1,1,1,0,1,1,1,0
Water,1,0.0,0.0,0.0,1,1,0,1,1,0,1,1,1,1
Cheese,402,25.0,1.3,33.0,0,0,1,0,1,1,0,0,1,0
Brown Rice,111,2.6,23.0,0.9,1,1,0,1,1,0,0,1,0,1
Olive Oil,120,0.0,0.0,14.0,1,1,1,0,0,0,1,1,1,1
Peas,81,5.4,14.0,0.4,1,1,1,1,1,1,1,1,0,1
Yogurt,59,10.0,3.6,0.4,0,1,0,1,0,1,1,1,1,1
Spinach,23,2.9,3.6,0.4,0,0,1,1,1,0,1,1,1,1
Ginger,80,1.8,18.0,0.8,1,0,0,1,1,0,1,0,1,1
Peas,81,5.4,14.0,0.4,1,1,1,1,1,1,1,1,1,1
Mackerel,305,27.0,1.0,22.0,0,1,0,0,1,1,0,0,1,0
Kiwi,61,1.1,15.0,0.5,0,1,1,1,1,1,0,1,0,1
Chickpeas,134,8.9,22.0,2.6,1,0,1,1,1,0,0,0,1,0
Avocado,160,2.0,9.0,15.0,1,1,1,1,1,1,1,1,1,1
Mushroom,22,3.1,3.3,0.3,1,1,0,0,0,1,0,0,1,0
Peanut Butter,588,25.0,20.0,50.0,0,0,1,0,1,0,0,0,1,0
Oats,389,17.0,66.0,7.0,1,1,1,1,1,1,1,0,0,0
Watermelon,30,0.6,8.0,0.2,1,1,1,0,1,1,1,1,1,1
Zucchini,21,1.5,3.7,0.4,1,1,1,0,0,1,0,1,1,0
Avocado,160,2.0,9.0,15.0,1,0,1,0,0,0,0,1,1,1
Pasta (Whole Wheat),124,5.3,26.0,0.4,0,1,1,1,1,1,1,1,0,1
Lentils,116,9.0,20.0,0.4,1,0,1,1,1,1,0,1,1,1
Sweet Potato,86,1.6,20.0,0.1,1,1,1,1,0,1,1,1,1,1
Orange,47,0.9,12.0,0.3,0,1,1,0,1,1,1,1,1,1
Almond Milk,30,0.0,1.0,2.5,1,0,1,1,1,1,1,1,1,0
Yogurt,59,10.0,3.6,0.4,0,1,1,1,1,1,1,0,1,1
Milk,61,3.2,4.8,3.3,1,1,1,1,1,1,0,0,1,0
Pasta (Whole Wheat),124,5.3,26.0,0.4,1,1,1,1,0,1,1,1,1,1
Walnuts,654,9.1,13.7,65.0,1,1,1,1,1,0,0,1,1,0
Pasta (White),131,5.0,25.0,1.1,0,0,0,1,1,1,1,1,1,1
Chicken Breast,165,31.0,0.0,3.6,1,1,1,0,1,0,0,1,1,1
Lentils,116,9.0,20.0,0.4,1,1,1,1,1,0,0,1,0,0
Papaya,43,0.5,11.0,0.3,0,0,0,1,1,1,1,1,1,1
Yogurt,59,10.0,3.6,0.4,0,1,1,1,0,1,1,0,1,1
Walnuts,654,9.1,13.7,65.0,1,1,0,0,1,0,0,0,1,1
Barley,354,12.0,77.0,2.3,0,0,1,0,0,1,1,1,1,1
Peas,81,5.4,14.0,0.4,1,1,0,0,1,1,1,1,1,1
Green Tea,2,1.0,0.5,0.0,1,1,1,1,0,1,0,1,1,1
Cauliflower,25,1.9,5.0,0.3,1,1,1,0,1,0,1,1,1,1
Green Tea,2,0.0,0.5,0.0,0,1,0,0,1,1,1,1,1,1
Pistachio,557,20.0,28.0,45.0,1,1,0,1,1,1,0,1,1,1
Avocado,160,2.0,9.0,15.0,1,0,1,0,1,1,1,1,1,0
Wild Rice,101,3.9,35.0,0.3,0,1,1,1,1,1,1,1,0,1
Chicken Breast,165,31.0,0.0,3.6,0,1,1,1,1,1,1,1,1,1
Salmon,280,25.0,0.0,17.0,0,1,0,0,1,1,0,1,1,0
Black Beans,132,8.9,24.0,0.5,1,0,0,0,0,1,0,1,1,1
Avocado,160,2.0,9.0,15.0,1,0,0,0,1,1,0,1,1,1
Lime,30,0.7,10.5,0.2,1,1,1,1,1,1,1,1,1,0
Hummus,165,5.5,15.0,9.0,1,1,1,1,1,0,1,0,1,1
Eggs,155,13.0,1.1,11.0,1,1,1,1,1,1,1,0,1,1
Cabbage,25,1.3,5.8,0.1,0,1,1,1,1,1,0,1,1,1
Ginger,80,1.8,18.0,0.8,1,1,0,1,1,1,0,0,1,1
Cantaloupe,34,0.8,8.0,0.2,1,1,1,0,1,1,1,1,1,1
Chicken Breast,165,31.0,0.0,3.6,0,1,1,0,1,1,1,1,1,1
Carrot,41,0.9,10.0,0.2,1,1,0,1,1,1,0,1,1,1
Walnuts,654,9.1,13.7,65.0,1,0,1,0,0,1,0,0,1,0
Eggs,155,13.0,1.1,11.0,1,1,1,0,1,1,1,0,1,0
Garlic,149,6.4,33.0,0.5,0,1,1,1,1,0,1,0,1,1
Pasta (Whole Wheat),124,5.3,26.0,0.4,1,1,0,1,1,1,1,1,1,1
Olive Oil,120,0.0,0.0,14.0,1,1,1,0,0,1,1,1,1,1
Mushroom,22,3.1,3.3,0.3,1,0,1,0,1,1,1,1,1,1
Turkey Breast,189,29.0,0.0,7.4,0,1,1,1,1,1,1,1,1,1
